"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 02 12:31:36 GMT 2025","Sat Aug 02 12:31:39 GMT 2025","2912","chromium","APITests.spec.ts","form fill API","","","form fill - add a user via API",""
"passed","Sat Aug 02 12:33:22 GMT 2025","Sat Aug 02 12:33:31 GMT 2025","8894","chromium","UITests.spec.ts","","","","canvas game",""
"passed","Sat Aug 02 12:32:28 GMT 2025","Sat Aug 02 12:32:31 GMT 2025","2984","chromium","UITests.spec.ts","cat shelter","","","edit a cat",""
"passed","Sat Aug 02 12:32:18 GMT 2025","Sat Aug 02 12:32:24 GMT 2025","6459","chromium","UITests.spec.ts","","","","sorted list",""
"passed","Sat Aug 02 12:32:31 GMT 2025","Sat Aug 02 12:32:34 GMT 2025","2753","chromium","UITests.spec.ts","cat shelter","","","delete a cat",""
"passed","Sat Aug 02 12:31:52 GMT 2025","Sat Aug 02 12:31:55 GMT 2025","2361","chromium","APITests.spec.ts","cat shelter API","","","cat shelter - update a cat via API",""
"passed","Sat Aug 02 12:31:56 GMT 2025","Sat Aug 02 12:31:58 GMT 2025","2009","chromium","APITests.spec.ts","sorted list  API","","","sorted list - delete an item via API",""
"passed","Sat Aug 02 12:32:39 GMT 2025","Sat Aug 02 12:33:11 GMT 2025","31754","chromium","UITests.spec.ts","collecting kittens","","","win the game - click only on kittens",""
"passed","Sat Aug 02 12:32:37 GMT 2025","Sat Aug 02 12:32:38 GMT 2025","1275","chromium","UITests.spec.ts","concat strings","","","correct string",""
"passed","Sat Aug 02 12:31:50 GMT 2025","Sat Aug 02 12:31:52 GMT 2025","2555","chromium","APITests.spec.ts","cat shelter API","","","cat shelter - delete a cat via API",""
"passed","Sat Aug 02 12:31:46 GMT 2025","Sat Aug 02 12:31:47 GMT 2025","1867","chromium","APITests.spec.ts","form fill API","","","form fill - delete a user via API",""
"passed","Sat Aug 02 12:32:35 GMT 2025","Sat Aug 02 12:32:37 GMT 2025","1349","chromium","UITests.spec.ts","tables","","","apply species filters",""
"passed","Sat Aug 02 12:32:26 GMT 2025","Sat Aug 02 12:32:28 GMT 2025","2329","chromium","UITests.spec.ts","cat shelter","","","add a cat to the shelter",""
"passed","Sat Aug 02 12:32:15 GMT 2025","Sat Aug 02 12:32:16 GMT 2025","1425","chromium","UITests.spec.ts","","","","yellow or blue",""
"passed","Sat Aug 02 12:31:55 GMT 2025","Sat Aug 02 12:31:56 GMT 2025","1492","chromium","APITests.spec.ts","sorted list  API","","","sorted list - add an item via API",""
"passed","Sat Aug 02 12:31:58 GMT 2025","Sat Aug 02 12:32:08 GMT 2025","10148","chromium","UITests.spec.ts","","","","speed game",""
"passed","Sat Aug 02 12:33:11 GMT 2025","Sat Aug 02 12:33:22 GMT 2025","10848","chromium","UITests.spec.ts","collecting kittens","","","loose the game - click on the hedgehog",""
"passed","Sat Aug 02 12:32:38 GMT 2025","Sat Aug 02 12:32:39 GMT 2025","1362","chromium","UITests.spec.ts","concat strings","","","wrong string",""
"passed","Sat Aug 02 12:32:16 GMT 2025","Sat Aug 02 12:32:18 GMT 2025","1407","chromium","UITests.spec.ts","","","","cat or dog",""
"passed","Sat Aug 02 12:31:47 GMT 2025","Sat Aug 02 12:31:50 GMT 2025","2277","chromium","APITests.spec.ts","cat shelter API","","","cat shelter - add a cat via API",""
"passed","Sat Aug 02 12:32:24 GMT 2025","Sat Aug 02 12:32:26 GMT 2025","1797","chromium","UITests.spec.ts","","","","form fill",""
"passed","Sat Aug 02 12:32:08 GMT 2025","Sat Aug 02 12:32:15 GMT 2025","6409","chromium","UITests.spec.ts","","","","wait game",""
"passed","Sat Aug 02 12:32:34 GMT 2025","Sat Aug 02 12:32:35 GMT 2025","1358","chromium","UITests.spec.ts","tables","","","empty filters",""
